latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.398945,78.457085,505.0,19800,Asia/Kolkata,GMT+5:30

time,rain (mm),precipitation (mm)
2020-10-11T00:00,0.00,0.00
2020-10-11T01:00,0.80,0.80
2020-10-11T02:00,0.60,0.60
2020-10-11T03:00,0.70,0.70
2020-10-11T04:00,1.80,1.80
2020-10-11T05:00,2.50,2.50
2020-10-11T06:00,0.50,0.50
2020-10-11T07:00,2.00,2.00
2020-10-11T08:00,1.20,1.20
2020-10-11T09:00,1.60,1.60
2020-10-11T10:00,2.30,2.30
2020-10-11T11:00,1.50,1.50
2020-10-11T12:00,1.30,1.30
2020-10-11T13:00,0.60,0.60
2020-10-11T14:00,11.20,11.20
2020-10-11T15:00,5.30,5.30
2020-10-11T16:00,2.40,2.40
2020-10-11T17:00,1.20,1.20
2020-10-11T18:00,0.70,0.70
2020-10-11T19:00,1.00,1.00
2020-10-11T20:00,0.50,0.50
2020-10-11T21:00,0.50,0.50
2020-10-11T22:00,0.50,0.50
2020-10-11T23:00,0.00,0.00
2020-10-12T00:00,0.00,0.00
2020-10-12T01:00,0.00,0.00
2020-10-12T02:00,0.00,0.00
2020-10-12T03:00,0.20,0.20
2020-10-12T04:00,0.50,0.50
2020-10-12T05:00,0.00,0.00
2020-10-12T06:00,1.20,1.20
2020-10-12T07:00,0.40,0.40
2020-10-12T08:00,0.10,0.10
2020-10-12T09:00,0.00,0.00
2020-10-12T10:00,0.10,0.10
2020-10-12T11:00,1.00,1.00
2020-10-12T12:00,1.60,1.60
2020-10-12T13:00,0.20,0.20
2020-10-12T14:00,1.70,1.70
2020-10-12T15:00,0.50,0.50
2020-10-12T16:00,1.60,1.60
2020-10-12T17:00,1.10,1.10
2020-10-12T18:00,0.00,0.00
2020-10-12T19:00,0.00,0.00
2020-10-12T20:00,0.00,0.00
2020-10-12T21:00,0.10,0.10
2020-10-12T22:00,0.40,0.40
2020-10-12T23:00,1.00,1.00
2020-10-13T00:00,1.40,1.40
2020-10-13T01:00,1.40,1.40
2020-10-13T02:00,1.50,1.50
2020-10-13T03:00,2.70,2.70
2020-10-13T04:00,0.90,0.90
2020-10-13T05:00,0.60,0.60
2020-10-13T06:00,2.80,2.80
2020-10-13T07:00,2.80,2.80
2020-10-13T08:00,2.00,2.00
2020-10-13T09:00,1.20,1.20
2020-10-13T10:00,2.00,2.00
2020-10-13T11:00,4.70,4.70
2020-10-13T12:00,3.00,3.00
2020-10-13T13:00,3.00,3.00
2020-10-13T14:00,2.60,2.60
2020-10-13T15:00,3.80,3.80
2020-10-13T16:00,3.60,3.60
2020-10-13T17:00,5.60,5.60
2020-10-13T18:00,4.50,4.50
2020-10-13T19:00,7.30,7.30
2020-10-13T20:00,9.10,9.10
2020-10-13T21:00,8.70,8.70
2020-10-13T22:00,1.10,1.10
2020-10-13T23:00,4.20,4.20
2020-10-14T00:00,1.10,1.10
2020-10-14T01:00,1.40,1.40
2020-10-14T02:00,1.40,1.40
2020-10-14T03:00,1.50,1.50
2020-10-14T04:00,1.40,1.40
2020-10-14T05:00,1.30,1.30
2020-10-14T06:00,1.00,1.00
2020-10-14T07:00,0.90,0.90
2020-10-14T08:00,0.50,0.50
2020-10-14T09:00,0.40,0.40
2020-10-14T10:00,0.30,0.30
2020-10-14T11:00,0.30,0.30
2020-10-14T12:00,0.00,0.00
2020-10-14T13:00,0.30,0.30
2020-10-14T14:00,0.20,0.20
2020-10-14T15:00,0.20,0.20
2020-10-14T16:00,0.20,0.20
2020-10-14T17:00,0.00,0.00
2020-10-14T18:00,0.00,0.00
2020-10-14T19:00,0.10,0.10
2020-10-14T20:00,0.20,0.20
2020-10-14T21:00,0.20,0.20
2020-10-14T22:00,0.70,0.70
2020-10-14T23:00,0.10,0.10
2020-10-15T00:00,0.00,0.00
2020-10-15T01:00,0.00,0.00
2020-10-15T02:00,0.20,0.20
2020-10-15T03:00,0.20,0.20
2020-10-15T04:00,0.00,0.00
2020-10-15T05:00,0.00,0.00
2020-10-15T06:00,0.00,0.00
2020-10-15T07:00,0.00,0.00
2020-10-15T08:00,0.00,0.00
2020-10-15T09:00,0.00,0.00
2020-10-15T10:00,0.10,0.10
2020-10-15T11:00,0.20,0.20
2020-10-15T12:00,0.20,0.20
2020-10-15T13:00,0.30,0.30
2020-10-15T14:00,0.10,0.10
2020-10-15T15:00,0.10,0.10
2020-10-15T16:00,0.00,0.00
2020-10-15T17:00,0.00,0.00
2020-10-15T18:00,0.00,0.00
2020-10-15T19:00,0.00,0.00
2020-10-15T20:00,0.00,0.00
2020-10-15T21:00,0.00,0.00
2020-10-15T22:00,0.00,0.00
2020-10-15T23:00,0.00,0.00
2020-10-16T00:00,0.00,0.00
2020-10-16T01:00,0.00,0.00
2020-10-16T02:00,0.00,0.00
2020-10-16T03:00,0.00,0.00
2020-10-16T04:00,0.00,0.00
2020-10-16T05:00,0.00,0.00
2020-10-16T06:00,0.00,0.00
2020-10-16T07:00,0.00,0.00
2020-10-16T08:00,0.00,0.00
2020-10-16T09:00,0.00,0.00
2020-10-16T10:00,0.00,0.00
2020-10-16T11:00,0.00,0.00
2020-10-16T12:00,0.00,0.00
2020-10-16T13:00,0.00,0.00
2020-10-16T14:00,0.00,0.00
2020-10-16T15:00,0.00,0.00
2020-10-16T16:00,0.00,0.00
2020-10-16T17:00,0.00,0.00
2020-10-16T18:00,0.00,0.00
2020-10-16T19:00,0.00,0.00
2020-10-16T20:00,0.00,0.00
2020-10-16T21:00,0.00,0.00
2020-10-16T22:00,0.00,0.00
2020-10-16T23:00,0.00,0.00
